",",938415ab-d47e-45d7-9406-6a6d3948f253,9feb212d-55bb-45a6-bef4-3cf101a03189,129e2022-2a5f-4c0d-8556-eaf80e61cb8c,d80df48f-8399-4dfd-8a55-4b71699af043,a7809f21-9b13-4063-8102-95d33d63b2c3,da7f8185-4364-4901-8630-317a5ca3ad2d,a4a7a933-d0b4-4c98-b005-7f38cb6d6537,d8c2460d-9431-4f5d-bc6e-92b4ffb4426d,ae53e85b-7e46-4bd6-9eba-522f0a550e4f,2f8b9c1e-7dee-44de-a713-86c8c8459068,96f48236-6971-4fe8-8fe6-fe85d2509d53,1f6c35e7-2184-435a-aad6-cebc9aa8c4b2,2df774dd-5320-41c6-b438-f7ea553c28b2,ca8ace6b-9c8e-4956-a70a-d4457642bcf7,cad6a2c2-7ff3-4a67-a196-fca7e325892a,e21d5aba-e1a0-4c1d-aa15-dc2d669cc90b,66736677-5fe0-4042-8568-d67d9d375264,34879550-a62a-4761-832a-9dd75e3ea426,2701830d-6c06-4c69-9908-6e09e1ff43ca,15b303ea-16a6-4c9c-b1f2-716357867ee7,f9b6c337-1f7a-40ba-b43a-8f9b4b25cbe8,ab7de378-1215-4df0-9b08-eb5bdcad9d78,c6fb7812-b61b-49ac-9885-9c578c46e96b,e1c9a9fd-52fa-43cd-b931-7f5b07c8177f,51bb26a1-a534-4c3f-a613-a4c8ccdbe0ba,f301d203-50bb-49ca-9fc9-5941ec4971b2,2ef3b6c1-8ed2-4bb3-8830-cb10a158abec,f0d7813c-428d-423f-8588-bbbd2cd1cb37,6b7bb605-ae39-48de-8f31-67f67119344b,fda3d7d9-7a98-420d-b868-d5d5377ba891,53f2fda5-0c23-4f8f-a23a-0df4ad9b9838,4415841d-2979-4cd7-a399-01b74c1f1063,5f8c6722-6a54-4ba2-b607-2a8dbbd9f4e2,62c34b0b-4aec-407e-9d5e-b245d1047d8c,4070b36d-9d27-4f5d-b619-6255016e70f2,5f36bcbf-2c53-4464-bd73-d3ad32f58309,08061b7e-6ce8-4b55-a0c7-24b587a6a6a0,2114dd4a-415d-4809-acc4-9f782f62f835,c257939c-efd8-4a87-8733-e85a498e21fd,d9e918c1-82fd-4aae-a349-d2fc34015bd2,fd46c02a-176a-4198-aabe-f15abdb4c54a,36521ac3-eb1f-4ff0-9103-fa04f90376e8,824cbb2a-b5ac-41e6-856b-69c92b4954bc,38c779d8-5d66-4e6b-ba2b-56b149efc0c1,96bdcd5c-6621-49a4-b30b-1e15349aaad0,6ae4e2cf-da6c-44f1-800e-ccb39768ac0e,9d217231-cca4-405f-b962-e9fee2ccdaea,c743d105-a8d7-4d5e-8d1e-28783f4b9f75,09dd9ae6-b906-4d23-ab8f-b6877ba10e2e,3d938c0a-7083-494a-955f-90cf337140c8,b05c763d-f719-4900-b5c1-a3d112799f0a,a7539d77-c092-420f-a12e-97034196ec6f,9dd2683e-5f3e-439c-8302-5b2d876dfa5b,105b7a93-d3b3-4969-9a4d-de7a373f5bea,a62e1e05-5a4f-419a-805d-4c9455b95e2f,df984ad3-c149-46e2-968e-950365de498e,bac26fa5-bce8-40a9-b149-f7f66eeb3a7c,326e22ad-36f5-49f1-9c26-fc1700394ea5,b58e047f-281d-46c9-a8ac-49c5ec8dccc1,72c9966b-f9ba-4806-a13c-7725206245dc,35a323fa-7af9-417c-8492-e9dda86d2d6a,a2654adf-ae4b-45bc-81d5-5d8142c5b568,b29e8044-3f2f-4089-926b-64637dc169e2,134d5d61-683a-4f8c-ab6d-bcdd133de887,d4e33a27-e565-4ebf-a359-0ab3aad06d17,d7fcd9f8-46c3-4fab-8732-ef11a78b4002,e240008f-c03d-40de-b7a1-740b1617d3ee,311a62b3-1a42-472e-8648-4fde5927d6ba,62364acc-8200-4d9d-a0c3-0504fbc5179d,e5cd627a-c199-43d3-9154-4d83197112ae,9c5a7287-1fe8-4f9b-9c13-81a77ed4aea8,5ce806fb-7a16-44f9-a770-42ce3bffd1fb,6d08e820-83ac-4563-95e2-7fc7cb41156a,a7095f4c-c7fb-4cc5-9c44-6737027293d5,a4bb744d-c39e-4dde-976a-6b75fcd2eed3,041ed313-b5fe-4b66-9bea-9cab462b34a0,66a68201-c9fb-41e7-b68f-5aea70033a3c,15b25111-5309-45fe-9a7e-c654db53f254,11d5b26a-6020-4a68-9cfd-b30f894ed370,1673a025-388d-4891-bf40-e4a3f05c7a1e,3ab226ff-f22a-4b48-9db6-054e4df98ed2,5708d4fd-275d-422b-aaba-a77a75ce2833,43a18bac-95a8-4798-865f-c3a1ea934e75,9c39044b-383d-42e8-84b9-befa4ec0b45d,acd6c8a9-6715-4f50-86d5-5dee9a0cc50f,4c1999af-701c-45ea-9d7d-0168c0d62f8b,fad74c67-2a2a-4aba-9bdb-5466906c2ac6,13ac6fc1-79f5-44ce-b66c-6583bc3e2b7b,b938be86-bdfa-401b-9d11-ec45f8ea51ea,36dab18b-e07b-4ae0-9be5-33d04281c933,2f3ae44d-45db-4ec9-ac83-1ff7d92293ff,92f0263c-4651-444d-89ac-44ce606f1ae9,3db7cbac-7ccb-4fca-ac2c-6cb893db1a40,a29ee4be-c05b-4e5f-a7a9-2028bea3e74b,a9c9ab10-0a6c-460c-bb90-eb8fc2465ee3,e1322950-258b-4751-aded-719835ee00b6,b8f088c6-1b30-4b32-80e4-1d33322a4416,1be17631-c8b0-46c1-8c33-56bb11c410aa,21a2233c-96c8-432c-b0b4-a6156e137b47,034b5a69-1b37-4535-a014-8aba16b49e84,7d38dd13-6c2f-4e0b-bc08-17045533e15f,25a02346-58c8-4452-bb6c-8053b0c4355c,23f406d2-ef93-4703-b884-a919fad240ea,76183a38-2fd2-4e5a-a613-f78db0a68db6,146c2811-3ec6-4932-a03c-4e046474ca30,b354d25b-ce58-4d88-96c3-29e82ce0b7f9,80629d17-3e5d-417d-99bc-bf89aad7e270,3ac44f83-0e43-4d3f-a6fb-ded9a8c15d79,64c4c7d2-bac5-4abd-b6db-ea7f3d541692,7402d16a-f3b4-42f1-bd6b-b7e57b45b530,58319c8d-c623-463b-a6a4-8fe222da384c,bb722fff-e07c-4a4e-9cf6-930ee55ec470,28f8ab7a-697d-4db1-a3c8-58132009968b,25ff3231-925c-46f9-b9f1-deb25b7c0b6e,c7cdea87-9451-4728-a40b-0e64d6def285,4b792591-5389-4b3b-98d5-442a9571eb4d,de2c1ff1-3302-427e-8915-c95870c6414a,f99ffe79-ea60-4a3d-bce9-633d6d48a62d,3cab00b1-24db-4dc6-bd7a-f713487e1f3a,0a06ce4d-fe03-4147-9df2-dc238f2bbedf,19a97402-0130-41f3-813b-57570a973640,4482071f-f293-4b97-812c-aaec8c910237,183047bd-d03b-4836-ad46-21b7b7019ff5,e0993a9a-2596-43d9-8f1d-b6ec782ad776,5d7ab405-c331-4094-941d-ce39395bddd2,4d61a0d4-9f01-4a24-93da-7fe27676391d,41fb5b14-3af2-45a0-8462-80fe00e571b0,5bba2ef0-b92f-4a83-b0b5-d8a899da2171,b017b34d-7988-43c9-aef9-1b35cba7fad4,2f70e32a-4494-4eac-84fa-59a76e107d26,cc215260-2e7b-4711-8b60-ff214e90a482,a4cee475-d83d-47f2-b0cf-4339896e0855,df692af6-33df-474d-9358-d41b49e81c7d,018d906a-7705-40dd-b224-e19317e3527b,2d74af60-776d-4cd6-a4ce-2cacca7624c8,603670c8-ddaa-40f3-b2b6-2eb31d9d478c,749243d8-0457-410a-bf67-0d59663b8c6e,98f91ba9-c597-41d2-8d47-f333484a345b,2bf0393a-9756-4a70-926d-177fe69d5690,85712701-a71a-4470-95c4-1cfd2a1747c1,861b1cbd-3e3e-4f8e-af5b-3589a532f5a9,03551da5-4590-4fb5-9c84-72f7fdd55b9b,7a6442f7-62fe-42ac-b8ad-91258e6f2fdd,bc2b3c98-3120-4671-b73c-48aff9989fc8,1ef90105-a12d-44bf-9e61-5926b07f2221,41a651b2-e774-429b-9aa6-9f0ec11641f4,8fac7934-387e-40fe-99f3-08e01ebf7b92,bf6aa645-aef5-48e2-a5d5-bea1cf9d5ea2,8dcd9faa-ca40-4cbb-afad-c1ea901c2caa,3351aedc-cbfa-46a4-bb11-0867d89e7de8,babd5c2c-063c-4327-a063-0636de0be0fa,75f6591b-6139-4951-a60c-7bd1d2352058,72a723d6-e43a-468a-8403-e1c0e7147cb9,7f38af08-1b37-4456-a283-61e1eafaf180,47df89a3-0d6d-4a8b-8f81-4bec5fa9de28,519e9a99-8fff-4133-a8f6-aba539e47de7,85862a5b-cb90-435e-bf96-a963d5069927,91452381-764b-44b1-ba91-4ec49c65beed,f37158b1-2828-4a20-a51d-4f80da4d20ba,b8669e1a-a448-4e85-98c4-7ac2f9e525e5
c8f9d7a4-ff34-4bb3-8af8-9ce2cd76d977,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0
23c49ea1-a1a4-40ef-9591-190df2720213,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000
b803ae83-51e4-4ed6-b48c-532f14253af3,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000
7c3db673-9699-4809-a8cd-83e14ec9d1ec,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5
9a43f1cb-9c4c-4eb2-82f1-ca55159e6ce3,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000
f6cb4e8e-2bb9-4b0b-8a18-c5fce31b076a,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10
8c17a194-804c-4ddc-982f-24b4edb0b10d,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000
ab12b091-8981-48e8-b026-d23a9abaffb3,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000
fcd9a95d-b9b3-459a-8041-c512ec71a732,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5
8df5b4e7-b46b-462a-ab09-8d607dd6ecf5,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000
4e944aab-dab6-48d9-aa11-c0fc652479cd,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000
17c31f26-a00e-467a-ae3a-ba89f7805e07,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000
e54fc357-d118-47d4-ba10-2b4f387f3103,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,-30,1000,1000
f708ed88-077b-4c7e-bda8-c892e13728fc,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10
b3b77481-0876-4940-9162-123ffbfe9674,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000
a84d9b29-19be-4bb2-910b-90d6d0b860f3,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000
cca89a89-cb78-428f-8c25-b7762745c423,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5
3d544a59-5971-4722-8d4a-939bb20c43d3,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000
9c730c2c-9de3-483c-a9ff-9d0eb00e39da,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0
